Topic;Count;Name
-1;26;-1_entry_gene_protein_kd
0;15;0_entry_pml_apoptosis_card
1;13;1_histone_rna_methyltransferase_dicer
2;10;2_protein_brca_gene_mouse
3;9;3_dna_repair_ercc_involved
4;9;4_mll_pdgfra_met_gene
5;8;5_entry_growth_factor_notch
6;7;6_chromatin_remodeling_swi_sf
7;6;7_runx_finger_zinc_enhancer
8;6;8_fgfr_receptor_growth_tyrosine
9;5;9_ptpases_sh_mammalian_phosphatase
10;4;10_isocitrate_dehydrogenase_nadph_idh
11;4;11_cell_ajs_cadherin_adhesion
