feature;shap_value
KRAS_SNP;0.5579549589853722
AGE_CONTACT;0.19682251004072301
PRIMARY_RACE;0.1912051139274419
TP53_SNP;0.1559503163375718
NOTCH1_SNP;0.08911487797128098
APC_DEL;0.05587570886262683
PTEN_DEL;0.04510895464895625
TP53_DEL;0.04328356181121503
PTEN_SNP;0.043149588845448776
NRAS_SNP;0.03983184511299038
TERT_SNP;0.03704263931962341
FBXW7_SNP;0.03622960020132047
ROS1_SNP;0.03066058515697552
IDH1_SNP;0.029961938355793444
NOTCH2_SNP;0.027923302828981884
KEAP1_SNP;0.02720349530366272
RB1_SNP;0.026740342631499683
EGFR_SNP;0.026422312117138594
BRAF_SNP;0.02577639815870249
HRAS_SNP;0.023477109608371963
KMT2D_SNP;0.022583693703754768
PIK3CA_SNP;0.021229944507525574
SMARCA4_SNP;0.02049991321420455
ARID1A_DEL;0.020436884340151677
NF1_DEL;0.01984302776841892
CDKN2A_SNP;0.019799056949692303
ERBB4_SNP;0.019037415112874833
SF3B1_SNP;0.018417525272704457
EGFR_DEL;0.01708980350012635
RNF43_DEL;0.016693649117574243
NF1_SNP;0.016258676409045644
GNAS_SNP;0.016173654084729393
RECQL4_SNP;0.013150955475987837
PTCH1_SNP;0.01276202907862052
KDR_SNP;0.012688952882986751
BAP1_SNP;0.012608173244427494
PTPRS_SNP;0.011732497680930527
MAP3K1_SNP;0.011607247690315006
SMO_SNP;0.011115774817652867
NRG1_SNP;0.010795194744748111
FGFR3_SNP;0.010685229477262855
TP53_DNP;0.010428012873905152
TSHR_SNP;0.010060521045326136
YAP1_SNP;0.010051902714068745
DNMT3A_SNP;0.009092355070306351
RBM10_SNP;0.009034012664589228
ASXL1_SNP;0.009017630669749617
SETD2_SNP;0.008173341446304402
APC_INS;0.008060785414506293
GATA3_INS;0.008017465113804358
PTCH1_DEL;0.007539904762342487
BRCA2_SNP;0.0075344946427950525
FAT3_SNP;0.007504454844767943
ATM_DEL;0.007458735504597319
IDH2_SNP;0.007247892119097564
GATA3_SNP;0.00718379904766536
FLT3_SNP;0.007044308841691198
POLD1_SNP;0.006745145617946371
NOTCH1_DEL;0.00669338272675984
ZFHX4_SNP;0.006544220399756214
STAG2_SNP;0.006457687385755079
CUX1_SNP;0.006422761929022353
AKT3_SNP;0.005996978331728225
PIK3CG_SNP;0.005978817182938255
EIF1AX_DEL;0.005932793976968425
ZFHX3_SNP;0.005859624002275631
ARID1A_INS;0.005843487346996856
AR_SNP;0.005813277592628726
PTPRT_SNP;0.005788418531423156
ERBB3_SNP;0.005714276899910769
AKT1_SNP;0.00569881247201042
TNFAIP3_SNP;0.0056779071119788995
ARAF_SNP;0.0053602784530406055
JAK2_SNP;0.005132599614623895
SRSF2_SNP;0.005086735721469448
KMT2D_DEL;0.005027765682740971
KCNQ1_SNP;0.004997647925101423
ARID1A_SNP;0.004948282815978655
ATRX_DEL;0.00489510550121999
FOXA1_SNP;0.004828257935245991
KMT2D_DNP;0.004782233341261904
TP53_INS;0.004742753612135765
KDM5C_SNP;0.004530037424634444
EP300_DEL;0.004528144847396056
NOTCH1_DNP;0.004526488649427113
KDM6A_SNP;0.004307379954344832
MET_SNP;0.004213874841000992
PIK3R2_SNP;0.004137322203943184
TET2_DEL;0.00401759353420909
PDGFRB_SNP;0.004006953201101338
PBRM1_SNP;0.004003100634880448
GNAQ_SNP;0.003988544160081019
CTNNB1_SNP;0.00397346486427352
ATM_SNP;0.003964463093961267
PTEN_INS;0.003962654502937168
ARID1B_DEL;0.0038339029653450835
MT-ND5_SNP;0.0037627347433627986
STK11_DEL;0.003739303903896134
BCL6_SNP;0.003714191431302426
PPP2R1A_SNP;0.0036739608180902357
PIK3C2G_SNP;0.003496790140432946
ERBB2_SNP;0.0034922618821765436
BLM_SNP;0.0034354531631316434
LRP1B_SNP;0.0034164278849011537
KMT2C_SNP;0.0033855862012302533
FGFR2_SNP;0.00336200744457667
CASP8_SNP;0.003333243276903842
NFE2L2_SNP;0.003286240411768213
FLCN_SNP;0.00320863114402957
DMD_SNP;0.0031997643295861946
JAK3_SNP;0.0031560996457012705
TERT_DNP;0.00310847507534182
MAP2K4_SNP;0.0030404437167541533
CREBBP_SNP;0.0030374713558895317
TET2_SNP;0.0030308525922193505
NOTCH1_INS;0.003013303818395036
PTK2_SNP;0.002961150765567833
PIK3R1_SNP;0.002936728403088547
B2M_SNP;0.002912579453253818
BRCA1_SNP;0.002903899743414137
TBX3_SNP;0.0029033370877855143
INSR_SNP;0.002807648464489788
BUB1B_SNP;0.002710412225112646
PTK2B_SNP;0.002651764687177622
ERCC4_SNP;0.0026369159040915443
DOT1L_SNP;0.002626924465612483
MRE11A_SNP;0.002611011824410286
ARID1B_INS;0.0025984889443301518
TERT_ONP;0.002593059961338738
NTRK1_SNP;0.002520091359467014
SPEN_SNP;0.002494033670309299
PRKDC_SNP;0.0024718842067622993
KRAS_DNP;0.0024709441341673934
AXIN2_SNP;0.0024595349842690324
CIITA_SNP;0.002439816169037828
STAT6_SNP;0.0024273605081336458
DDR2_SNP;0.0023911875739574305
FANCA_SNP;0.002390008981947812
IRS1_SNP;0.00236746790129487
AR_DEL;0.0023318697128735613
KDM6B_SNP;0.002286352427824808
PTCH1_INS;0.0022718030955048885
KMT2D_INS;0.0022716101122693087
CTNNA1_SNP;0.00225370951017921
POLQ_SNP;0.0022162383328135334
RET_SNP;0.0021765303091630275
CREBBP_DEL;0.0021515860188080203
APC_SNP;0.0021421621337548765
NTRK2_SNP;0.002111889109971341
TYK2_SNP;0.002109945856857429
NF1_INS;0.0020688299372155668
SS18_SNP;0.0020367463189501565
PIK3R1_INS;0.0020255024641689613
FLT1_SNP;0.002015888702339627
STK11_SNP;0.001995506419021279
NTRK3_SNP;0.001992233159322767
MCL1_SNP;0.0019869384693496205
MYD88_SNP;0.0019827298015206124
SF3B1_DEL;0.0019797480029948573
PHF6_SNP;0.001925384074572071
MPL_SNP;0.0019233485656990847
SPTA1_SNP;0.001902171523084144
ABL1_SNP;0.0019019259680450088
WRN_SNP;0.0018922201392511631
RB1_DEL;0.0018914440815505495
ATRX_SNP;0.0018890734219698866
MTOR_SNP;0.0018851967676112213
FAT1_SNP;0.0018808039959761912
DCC_SNP;0.0017871843996626377
EP300_SNP;0.0017811742687260915
EPHA7_SNP;0.001778537027713153
PIK3R1_DEL;0.0017774772706652014
NCOA2_SNP;0.0017764730725428268
PREX2_SNP;0.0017742272181288912
GPS2_SNP;0.001773361819165542
CHD2_SNP;0.001766312936613846
RAD54L_SNP;0.0017258811951147398
MLH1_SNP;0.0017191320950484417
