feature;shap_value
TP53_SNP;0.3584811258806252
KRAS_SNP;0.3429500775311939
BRAF_SNP;0.25976456187753727
PIK3CA_SNP;0.19169787378859102
NRAS_SNP;0.1865641602167757
PRIMARY_RACE;0.1791399765524765
TP53_DEL;0.12953634920140059
AGE_CONTACT;0.12818638934974583
APC_DEL;0.10297590112386217
TERT_SNP;0.07180272654289378
ERBB4_SNP;0.06457393427874986
NF1_SNP;0.06394216651035341
KEAP1_SNP;0.06383033934313828
APC_SNP;0.05350249884003678
EGFR_DEL;0.05191280687896019
ARID1A_DEL;0.05172762179531447
SMAD4_SNP;0.0512583283395494
KMT2D_DEL;0.05057425931905475
ROS1_SNP;0.04805910942013579
KIT_SNP;0.0467141758848543
SF3B1_SNP;0.04155313308120678
ARID1A_INS;0.04104793900245788
GNA11_SNP;0.03784162559632144
KDR_SNP;0.036389026530864545
GRIN2A_SNP;0.035808765116869846
TP53_INS;0.03545060321429516
CDKN2A_SNP;0.03330994449853621
APC_INS;0.03243336741834808
PTPRT_SNP;0.032280337840610546
GNAQ_SNP;0.03175898411708661
NOTCH1_SNP;0.030078289306923238
EPHA5_SNP;0.029548023544600503
BRAF_DNP;0.02703023718826135
FGFR2_SNP;0.02642704555161888
KDM6A_SNP;0.025603056019771107
GATA3_INS;0.02503307140553909
ATM_SNP;0.024311165986188342
ARID1A_SNP;0.02414722106489597
SMARCA4_SNP;0.023601601678170513
FLT3_SNP;0.023459323352951773
JAK2_SNP;0.022558206847592754
PIK3R1_DEL;0.022153783251517088
ATRX_SNP;0.02174497243172699
RBM10_SNP;0.021183387280846056
LRP1B_SNP;0.020548182707790318
DNMT3A_SNP;0.02049761243040311
EP300_SNP;0.01978117559232351
TET2_DEL;0.019591233649634488
KRAS_DNP;0.01950074313453068
PREX2_SNP;0.019175137389665975
ERBB2_SNP;0.01876569683609681
NOTCH1_DEL;0.01859312550093997
MECOM_SNP;0.018453776007198084
PAK7_SNP;0.018292638359071044
AKT1_SNP;0.018152205000694203
CREBBP_DEL;0.017449353458438992
NFE2L2_SNP;0.017326355741526238
CBL_SNP;0.01715526054863407
SPOP_SNP;0.016781740128693136
SRSF2_SNP;0.0161391210706611
HRAS_SNP;0.01606942961410299
MAP2K1_SNP;0.015353845142234302
ASXL1_DEL;0.015129918471972034
U2AF1_SNP;0.015121875096409373
PIK3C2G_SNP;0.014945113903073877
NPM1_INS;0.014362485740389142
NOTCH3_SNP;0.014186423799230904
BCOR_SNP;0.014184178199580363
MET_SNP;0.014014653770757902
GNAS_SNP;0.013326873678514555
EPHA7_SNP;0.013113593932605904
FBXW7_SNP;0.012938449518181011
PIK3CA_DEL;0.01278994547129032
ATM_DEL;0.01276755472217593
FLT1_SNP;0.012736233604211842
ATR_SNP;0.012628739158949158
VHL_SNP;0.012411850048614479
RB1_DEL;0.012020956107607332
SMAD4_DEL;0.011887176604784411
CDH1_DEL;0.011478484081419741
ERG_SNP;0.011462480217984974
CIC_SNP;0.010943559332561267
IKZF1_SNP;0.010716987556894427
PIK3C2B_SNP;0.010715441060425863
GATA3_DEL;0.010584517323168145
XPO1_SNP;0.010251867634428952
TERT_DNP;0.010047424311678847
RBM10_DEL;0.009883440844277978
KDM6A_DEL;0.009871923759066351
ALK_SNP;0.009753402521784174
STAG2_SNP;0.009733813380691902
BCOR_DEL;0.009620324979942065
PDGFRA_SNP;0.009528957766734368
ESR1_SNP;0.009381701054585018
SETD2_DEL;0.00932148519506525
TGFBR1_SNP;0.009303608523563362
FOXA1_DEL;0.009293492770811098
EIF1AX_DEL;0.008963244167258102
IL7R_SNP;0.008953555845977176
PTPRD_SNP;0.008904084412237827
NF1_INS;0.008829705658668582
VHL_DEL;0.008793357402730849
RAD21_SNP;0.008785722572329508
H3F3A_SNP;0.008694061254807034
EZH2_SNP;0.00860664392622737
SOX9_INS;0.008494794745508263
NOTCH2_SNP;0.008472571741492648
SOX9_SNP;0.008348673156161147
BAP1_SNP;0.008339352508550201
MGA_DEL;0.008256657024811757
BRCA2_DEL;0.008166422532222816
TP63_SNP;0.008089902776324612
CASP8_SNP;0.008067662538204536
STK11_SNP;0.008054398541008152
RFWD2_SNP;0.00784048416893094
CDKN1B_SNP;0.007750930622099126
BRAF_DEL;0.007706632906361816
INPP4B_SNP;0.007699076482277352
STK11_DEL;0.007681491917870142
CDH1_SNP;0.00750623086019033
RECQL4_SNP;0.007478050580889648
TERT_ONP;0.0074599276730584535
MEN1_DEL;0.00745678444687282
RUNX1T1_SNP;0.0074504433036358675
RNF43_SNP;0.00737897057320855
ASXL1_SNP;0.0072891672598771355
RUNX1_INS;0.00718543773445498
RNF43_DEL;0.007158394179724458
RB1_SNP;0.0071539330489797616
TET1_SNP;0.007118043553473509
BRAF_INS;0.007100022452681054
IDH2_SNP;0.0070379406745108425
NF2_DEL;0.006773970585087346
SNCAIP_SNP;0.006733051988858499
FOXL2_SNP;0.006677811623363781
FANCF_SNP;0.006662496470767294
NF2_SNP;0.006653812211955965
RASA1_SNP;0.006561898640036105
CREBBP_SNP;0.006529609801279689
CDKN2A_DNP;0.006506431991689635
NF1_DEL;0.00648355695907887
PIK3R1_SNP;0.006348809284211543
KMT2D_INS;0.006284174770369597
MED12_DEL;0.006271721713343363
ARHGAP35_SNP;0.006189131735404875
DNMT3A_DEL;0.006186999161220823
CIC_DEL;0.006169739381588029
EGFR_INS;0.006155349136640085
RAC1_SNP;0.006152339576449322
MAP2K1_DEL;0.006147647718184905
PPP6C_SNP;0.006136476235919059
TGFBR2_SNP;0.005980121415325337
