Topic;Count;Name
-1;37;-1_entry_protein_cell_notch
0;9;0_remodeling_chromatin_smarca_swi
1;8;1_gene_retinoblastoma_oncogene_rb
2;7;2_cyclin_kinase_cdk_see
3;7;3_gata_gene_lipoxygenase_transcripts
4;6;4_recql_baf_pms_human
5;6;5_erbb_growth_receptor_egfr
6;5;6_corepressor_receptor_thyroid_retinoic
7;5;7_methylation_methyltransferase_histone_dot
8;4;8_ras_traf_gtp_guanine
9;4;9_dna_replication_pold_purine
10;4;10_ubiquitin_degradation_ligase_activity
11;4;11_apc_apoptosis_ced_bcl
12;4;12_irs_entry_receptor_mouse
13;3;13_nbs_tsc_protein_cbp
