feature;shap_value
PRIMARY_RACE;0.04156194025554826
KMT2D_SNP;0.030741657249208756
MGA_SNP;0.02581989378342249
APC_SNP;0.02476044309786158
ARID1A_SNP;0.020480645270326298
ATM_SNP;0.01732757769237428
AGE_CONTACT;0.01699305772079581
FBXW7_SNP;0.015864114950397776
MLH1_SNP;0.014056413944702592
CREBBP_SNP;0.01328344741835361
FGFR3_SNP;0.012679680110089974
NOTCH1_SNP;0.012476629360955319
NOTCH2_SNP;0.012320112650928562
KIT_SNP;0.010954170364106447
FGFR1_SNP;0.010831634636875276
SMARCA4_SNP;0.010676711700873828
PDGFRA_SNP;0.009728973524883274
KDR_SNP;0.008779392270636316
PTPRS_SNP;0.008617272181574844
NF2_DEL;0.007814403178012738
EZH2_SNP;0.005997207440053022
DIS3L2_SNP;0.005830468858017843
ERBB4_SNP;0.005677838652009085
EPHA7_SNP;0.005443247028048528
STK11_SNP;0.005429161163770515
ERBB2_SNP;0.00493636856770087
RET_SNP;0.004862868757863962
NF2_SNP;0.0046872437764983515
SMO_SNP;0.004564900752601558
CDH1_SNP;0.004512654513731637
TSC2_SNP;0.004306988768023719
IRS1_SNP;0.0041154141582540995
CHEK2_SNP;0.003759000363009669
BRAF_SNP;0.0036286095284420844
B2M_DEL;0.003488866856782553
FAT3_SNP;0.003392311646657222
BCL6_SNP;0.0032281832288558764
STAG2_SNP;0.003192092736804726
ERCC2_SNP;0.003129690031215067
PRF1_SNP;0.0030438979932870605
FANCI_SNP;0.0030010537531797634
ARID5B_SNP;0.00286810184342336
PAK1_SNP;0.00274679862931532
CDKN2A_DNP;0.0026157598363622135
MIR4457_SNP;0.0025110761062618215
GATA6_SNP;0.0024905342546401297
XPC_SNP;0.0024564412086765784
NUP93_SNP;0.0024139264304930603
SMAD4_SNP;0.0023566289968679644
STAT5A_SNP;0.002263701337762518
FGFR2_SNP;0.0022521030118273022
ATRX_DEL;0.002105818596208191
HRAS_SNP;0.002063662873440304
TP53_SNP;0.002063089291281734
SF1_SNP;0.002012738667696161
PAK7_SNP;0.0020071776013196
VHL_INS;0.001972931905508783
PMS2_SNP;0.0019527771067955253
