feature;shap_value
KRAS_SNP;0.48431950513952093
TP53_SNP;0.3599947749747236
BRAF_SNP;0.1421389344682226
PIK3CA_SNP;0.13620753344854672
AGE_CONTACT;0.1147310603786218
NRAS_SNP;0.09430319597801899
PRIMARY_RACE;0.08569544378396554
IDH1_SNP;0.07965206601184999
VHL_SNP;0.07233997665574013
TP53_DEL;0.06454794378473161
APC_DEL;0.056136009020689534
EGFR_SNP;0.05454458529902533
APC_SNP;0.04646623012704971
SETD2_SNP;0.04502760790890052
VHL_DEL;0.03720173224419426
MTOR_SNP;0.03474517400545194
EGFR_DEL;0.032035802554280915
PBRM1_SNP;0.0317322737842613
CTNNB1_SNP;0.03089603211093088
SMAD4_SNP;0.02913055978201982
NF1_SNP;0.02720232106393444
KMT2D_SNP;0.026575953490391054
PBRM1_DEL;0.025361194670377576
CDH1_SNP;0.02427464625977701
TSC2_SNP;0.022526725633274458
IDH2_SNP;0.021211964651261423
ESR1_SNP;0.021132833140816824
STK11_SNP;0.02100992818094076
NF1_DEL;0.020818014690710984
JAK2_SNP;0.01964055843246218
TP53_INS;0.018800264768492524
KMT2D_DEL;0.017147503836102928
RUNX1_SNP;0.016997986903526423
KDM5C_SNP;0.016088308464715425
MET_SNP;0.016026060910122243
NF2_SNP;0.015898719712861366
NTRK3_SNP;0.01581381194137229
GATA3_INS;0.015567107447195644
SPOP_SNP;0.015264032765483881
KIT_SNP;0.014776694870651731
BAP1_SNP;0.014775572428899585
GNAS-AS1_SNP;0.01463168846264714
KEAP1_SNP;0.014391412481819616
TP53BP1_SNP;0.013431731875500542
SETD2_DEL;0.01336782424595242
TSC1_SNP;0.0133074067524385
FGFR2_SNP;0.012527409214769355
APC_INS;0.012487592895333128
KMT2B_SNP;0.01230001593206535
PTPRT_SNP;0.011869659304847712
LRP1B_SNP;0.011733902096558495
SF3B1_SNP;0.011690173245000497
FANCA_SNP;0.011606857349666782
GNA11_SNP;0.011603889787311993
CREBBP_SNP;0.0114121871287339
VHL_INS;0.01106046289812004
MED12_SNP;0.010527919981527264
FH_SNP;0.010057770616316906
PIK3R1_SNP;0.01004620056420237
SMARCA4_SNP;0.009947293249808684
AR_SNP;0.00980676793720231
FGFR3_SNP;0.0097625863723344
ARID1A_SNP;0.009749395513137978
BCOR_SNP;0.009613953096152117
NF2_DEL;0.009350981896526372
ARID2_SNP;0.009180535863322018
GNAQ_SNP;0.009021224467941995
RB1_SNP;0.009018559973878215
ERBB2_SNP;0.008659865273013613
PDGFRB_SNP;0.008525746302427112
NPM1_INS;0.008484493929393362
SMARCB1_SNP;0.008284806107492028
CARD11_SNP;0.008283050027555715
BRCA2_SNP;0.008238255003517504
CDK12_SNP;0.008126819082400335
WT1_SNP;0.007973028571593635
BAP1_DEL;0.007814656999004596
CYLD_SNP;0.007781789621682409
KIT_DEL;0.007664885564731169
EIF1AX_DEL;0.007617022111566655
IKZF1_SNP;0.00749772440648961
PIK3R1_DEL;0.007397818477983209
HGF_SNP;0.007341423831503886
POLQ_SNP;0.007329549204221821
ERBB3_SNP;0.0071576862347242755
DICER1_SNP;0.007105118714384585
ATRX_DEL;0.007082656151463339
ASXL1_SNP;0.006984211335877001
POLE_SNP;0.0067571047961259584
KRAS_DNP;0.006718514587233186
PBRM1_INS;0.0067106407504547065
CREBBP_DEL;0.00667212756449171
KDM5C_DEL;0.006523260367234801
NOTCH1_SNP;0.0064828646469316225
PRKDC_SNP;0.006372020125576011
STK11_DEL;0.006347493058710582
TERT_SNP;0.006241439647924798
DNMT3A_SNP;0.006111537773161944
NOTCH3_SNP;0.006089207647553051
PTEN_SNP;0.005980381073760972
NOTCH1_DEL;0.005720538811297741
GRIN2A_SNP;0.005717052810182409
CDKN2A_SNP;0.005707380111276601
ERCC5_SNP;0.0054501418100624715
EPHA7_SNP;0.005344285198214941
CCND3_SNP;0.005300153382330962
TSC1_DEL;0.005163744269794371
KMT2D_INS;0.005158294354446946
TCEB1_SNP;0.00492597599398676
NOTCH2_SNP;0.004872843433803812
NTRK2_SNP;0.004868734841792511
ROS1_SNP;0.004816405863631757
JAK3_SNP;0.004816352204738279
NOTCH4_SNP;0.004800615557362167
TET1_SNP;0.004769316977520744
NFE2L2_SNP;0.0047419933775835876
AMER1_SNP;0.004685834538530322
NRG1_SNP;0.004623820053777249
RB1_DEL;0.0046059575032094124
MYC_SNP;0.004542079360418604
GATA3_DEL;0.004491666342764614
PDGFRA_SNP;0.004486688984270142
PTPRD_SNP;0.004484503728781924
HRAS_SNP;0.004320633335833725
ATRX_SNP;0.004264397779142622
PTPN11_SNP;0.004214062706312021
TNFAIP3_SNP;0.004200100892491414
PPP2R1A_SNP;0.004188851747413427
IGF1R_SNP;0.004145643680589092
MEN1_SNP;0.004109503243744857
ARID1A_DEL;0.00409143871071633
GATA3_SNP;0.004057072483576062
PREX2_SNP;0.0038168509109401745
TET2_DEL;0.003780496261740923
ERBB4_SNP;0.0037576460754446188
ATM_SNP;0.003727045358592279
SETD2_INS;0.003710072529877148
DOT1L_SNP;0.003665209193464323
FOXA1_SNP;0.003496794855751375
STAG2_DEL;0.003461677655108002
CDH1_DEL;0.003455011330645429
TEK_SNP;0.0034469556376890286
RAC1_SNP;0.00334478390289604
MEN1_DEL;0.003255495029059895
NF2_INS;0.0032498347944690214
MECOM_SNP;0.0032270507804411756
CBLB_SNP;0.003214587608879828
ATR_SNP;0.0032028590889292565
TSC2_DEL;0.003191168394985587
FLCN_SNP;0.003182317614486794
ZFHX3_SNP;0.003178105872851641
RHOA_SNP;0.0031500039780635283
MSH2_SNP;0.0031121294693482408
FBXW7_DEL;0.0031061188904879743
RNF43_DEL;0.003078724299134676
IRS1_SNP;0.0030754951326247577
CUX1_SNP;0.003023975412315141
RECQL4_SNP;0.002995202271305257
KDR_SNP;0.0029746001144650438
MYD88_SNP;0.002961432278909529
EP300_SNP;0.002954486149626476
SMARCB1_DEL;0.0029169367715802348
BRCA2_DEL;0.002796303655201266
CASP8_SNP;0.0027907894451573542
BARD1_SNP;0.0027754306965436957
SOX9_SNP;0.002741560134645856
MYH9_SNP;0.002739808530133893
POT1_SNP;0.0027221772177024673
TERT_ONP;0.002679424157407375
CBFB_SNP;0.0026604791585703737
SF3B1_INS;0.0025167500160566247
FGFR1_SNP;0.0024675902917451046
TRAF7_SNP;0.002460153950754758
SLIT2_SNP;0.0024401691100200762
KMT2A_SNP;0.002437078657844591
HNF1A_SNP;0.0023790638166686965
B2M_DEL;0.0023669437594574516
ASXL1_INS;0.002349012277384886
KMT2C_SNP;0.0023473422695326385
SDHA_SNP;0.0022878259056945574
AKT2_SNP;0.0022597311421573684
AXIN2_SNP;0.002194765858822657
PMS2_SNP;0.0021925059453262504
STAG2_SNP;0.0021808033151894815
NTRK1_SNP;0.0021729918417007646
ABL1_DEL;0.002164131779320297
CSF1R_SNP;0.002103603317793193
PTEN_DEL;0.002100160730248033
ABCB11_SNP;0.002087015383979567
PTCH2_SNP;0.0020799023612328438
FLCN_DEL;0.0020740488102396785
JAK1_SNP;0.0020695425214558283
CDH4_SNP;0.002051217011679764
ZFHX3_INS;0.0020229918891574014
CTCF_SNP;0.0020048133578417274
MTOR_DEL;0.001988221768793135
ARID1A_INS;0.0019716942476714124
FANCF_SNP;0.0019298153778071793
SF3B1_DEL;0.001926734854619569
GLI2_SNP;0.0018840778595369534
RNF43_SNP;0.0018813460059666964
POLD1_SNP;0.0018798779933064153
IKBKE_SNP;0.001863759271760872
LATS1_SNP;0.0018511428207144544
CRLF2_SNP;0.0018371627032327752
KDR_INS;0.0017830657955091114
PTPRS_SNP;0.001765838157719294
FOXA1_DEL;0.0017568251920053294
PRKCI_SNP;0.0017452007632983671
ARAF_SNP;0.0017281615142682332
STAT4_SNP;0.0017200948730801218
PTEN_INS;0.0016928210817483962
INPP4B_SNP;0.00168687369302834
EP300_INS;0.0016769265355381976
EPHA5_SNP;0.0016765040020199605
EZH2_SNP;0.0016581972632305217
SMARCB1_INS;0.001654029417147596
BRCA1_DEL;0.0016499164342449206
PPM1D_SNP;0.0016388418021670026
KMT2C_DEL;0.0016254355254812364
PARK2_SNP;0.0016058075408517426
MYCN_SNP;0.001587203660808069
EWSR1_SNP;0.0015814496133040132
GRM3_SNP;0.0015697572424456954
SESN3_SNP;0.001539127323723335
ARID1B_SNP;0.001529751480700104
ZNF217_SNP;0.001516644354420825
TCF7L2_SNP;0.0015115782012220032
TSC1_INS;0.0015035771433367072
DDR2_SNP;0.0015024854660279122
PREX2_DNP;0.0014978406114633592
ERBB2_INS;0.0014963495797088876
TOP1_SNP;0.0014895543375960496
BUB1B_SNP;0.0014872930681501212
RAF1_SNP;0.0014627869741363024
FANCG_SNP;0.0014506947493289008
AKT1_SNP;0.0014491559252494375
HIST1H1A_SNP;0.001439379832584081
MAP3K1_INS;0.001429640396195806
MGA_SNP;0.0014223328549953856
WWTR1_SNP;0.0014185921572399788
INSR_SNP;0.0014168707937185097
PIK3CB_SNP;0.0014153974745943116
SUFU_SNP;0.0014139402516471396
KDM6A_SNP;0.0013970802902891783
TSC2_INS;0.0013837786646895979
CIC_SNP;0.0013682686419179602
RAD50_SNP;0.0013679705168760155
YAP1_SNP;0.0013664735501575523
FH_DEL;0.0013615997355836114
MAX_SNP;0.0013318905226857634
Unknown_SNP;0.0013190143881453798
GNAS_SNP;0.001315529097078149
SPEN_DEL;0.0013150272405079407
KMT2C_INS;0.0013150073933189106
NEIL3_SNP;0.0013012796619041153
SPEN_SNP;0.0012955411970136674
DNMT3A_INS;0.001280479392515035
RET_SNP;0.0012774573466142554
NOTCH2_DNP;0.0012627283998178072
SYNE1_SNP;0.0012596186481594566
BCL2L12_SNP;0.0012048192852583328
KEAP1_DEL;0.0012026027758592114
EXO1_SNP;0.0011664593029991227
JAK3_DEL;0.0011542505721660722
CHEK2_SNP;0.0011503304466241031
FLT1_SNP;0.001146919274337722
CDKN2A_INS;0.001145495045134044
DCC_SNP;0.0011369538190574905
ATM_INS;0.0011031237192300112
GATA6_SNP;0.0010766970871259277
PLCB4_SNP;0.0010660107440350769
RASA1_SNP;0.0010520664522039003
NR0B1_SNP;0.0010476043893412835
DNAJB1_SNP;0.0010450349645446234
FBXW7_SNP;0.0010421439695973982
ROBO1_SNP;0.001038549712910183
WHSC1L1_DEL;0.0010222492575116544
FLT3_SNP;0.001020004074268652
TGFBR2_SNP;0.0010114477312650842
BCR_SNP;0.0010112031518850668
FAT1_SNP;0.0010041949597147679
PAK7_SNP;0.0009978407139689981
POLE_DEL;0.000996912366163408
FANCD2_SNP;0.0009762549614876241
ALB_SNP;0.0009725470023917584
PTK2B_SNP;0.0009701618954640505
CUL3_SNP;0.0009696779084271562
KIF1B_SNP;0.0009651664265953629
PIK3C2B_SNP;0.0009650064437925872
ZFHX3_DEL;0.0009649862680644393
NUF2_SNP;0.0009552901496619855
MITF_SNP;0.0009501416193821209
EGFR_INS;0.000947807523648191
ARHGAP35_INS;0.0009425923287694364
AXL_SNP;0.0009404835050909708
NCOR1_SNP;0.000932069870888473
HLA-A_SNP;0.0009131374067697128
STAT5B_INS;0.0009119708089261672
FGF23_SNP;0.0009119552532678265
IDH1_DEL;0.0009087588224496701
GPR124_SNP;0.0009050604085238426
PTCH1_SNP;0.0008978330994531895
AKT3_DEL;0.0008971993018672071
MTOR_INS;0.0008881131414023918
