;feature;shap_value
860;TP53;0.12518076488888558
314;KRAS;0.10926618267743447
903;TERT;0.10678995416240081
896;PTEN;0.049659211393784417
843;ATRX;0.04105666408231228
1338;PIK3CA;0.03835935862995384
269;KMT2D;0.03182816468950111
136;ROS1;0.02653878631216345
924;PTPN11;0.02467954477335218
1231;BRCA2;0.02342210178028486
382;RASA1;0.022678767997488747
1282;KEAP1;0.0215963068978939
210;PTPRD;0.019544248897941124
1080;FAT1;0.017616192202254043
1031;FLT1;0.01725064282009109
1479;FGFR1;0.016710786157549725
763;ARID2;0.016539693030135593
123;EIF1AX;0.016448562815539348
1627;KDR;0.015803382374445913
603;PIK3R1;0.015436192571294785
649;EGFR;0.015002274306204526
1378;ARID1B;0.01499940498738053
1149;BRCA1;0.014966994147938372
1259;KMT2A;0.014623954959831703
390;IDH1;0.01459044665232981
774;BRAF;0.013644940488640919
1215;NRAS;0.013468673489033743
1464;TSC2;0.013338610216152496
274;MET;0.01330785288627524
840;TET2;0.012588724677042477
235;NTRK3;0.01249856551879543
1029;SMARCA4;0.011859271121552068
287;SETD2;0.011776127796621716
1561;CARD11;0.01064831832010369
1352;HGF;0.010556063246292834
93;NOTCH3;0.010541509956559017
806;CTNNB1;0.010244948536647041
750;FLT4;0.010157079925246339
181;RB1;0.009443210062202119
864;ALK;0.008751061320776785
399;AR;0.00864586616923627
851;ATM;0.008389649869035802
1376;CDH1;0.008201952302153247
595;STAG2;0.008070976282473219
949;KMT2C;0.00804929755134213
255;MGA;0.008043514870043733
195;COL7A1;0.00778716746967551
942;ARID1A;0.007182881428421835
17;ASXL1;0.007039886412802845
576;NTRK2;0.007038554143632803
194;CBL;0.0068840533497617346
1297;RBM10;0.0068477020930042334
1249;BCOR;0.00667172208643137
1111;PIK3CG;0.006586061567675789
454;GLI2;0.006507195863459894
426;DOT1L;0.006425340123185503
25;PRKDC;0.006406493113237658
1463;ATR;0.006390312548600742
901;FANCA;0.006364487442022322
678;AXL;0.006178202131082862
172;ERBB4;0.006062271613667208
611;EP300;0.005856782135378803
1116;BRIP1;0.005748068180224959
1509;APC;0.005677940745433711
729;H3F3A;0.005652997669958353
883;MTOR;0.005610902554224661
820;EPHA3;0.0055551131728683355
1449;GLI1;0.0055157111502211875
1125;FGFR4;0.005363192580345801
1392;STK11;0.005342432129391949
1083;GRIN2A;0.0052723811966668525
574;TEK;0.005250432888247482
916;RECQL4;0.005141438978232295
1612;JAK1;0.005058241046152506
1193;NCOR1;0.0049866122132575874
1095;NTRK1;0.004924543909348275
620;MAP3K1;0.004808568816181409
873;SMAD4;0.004782667790767732
1451;ERCC4;0.004700637731751725
36;MSH2;0.004671553945701498
440;MED12;0.004617184916933958
564;IKZF1;0.004550242843085028
619;SYNE1;0.0045037845623946615
696;PTPRT;0.00444280362115252
1544;MSH6;0.004411099976877857
956;NF2;0.004314153725351253
247;KDM5C;0.004288369524754857
286;SETBP1;0.0042189684392380964
201;RAF1;0.004164104350526383
63;MDC1;0.004122837590270078
1466;NOTCH2;0.0040962196491117955
831;PARK2;0.0039777995444087635
1396;FLT3;0.003871570297116429
900;PDGFRA;0.003823275680164379
1458;PPM1D;0.0036947193173675107
801;PDGFRB;0.003621169840047358
1474;MEF2BNB-MEF2B;0.003519203830501416
81;DIS3L2;0.003370383411005597
1577;EPHA7;0.0033667525365968214
