;feature;shap_value
252;GALNT12;0.0006436565753645703
84;CIC;0.0006320230583374795
1283;KAT6B;0.0006039025173764378
1511;CREBBP;0.0006034293352709775
1268;EML4;0.0005999093894397901
58;MT-ND6;0.0005927991357100255
1137;SMC1A;0.000587105940472579
907;CHEK1;0.0005784777935104302
1249;BCOR;0.0005757651460680773
389;PRAME;0.000570571575482631
1082;HLA-C;0.0005694148933934527
917;RICTOR;0.0005685217924801741
1375;CHD2;0.0005640441295609683
468;FAM46C;0.0005599321066757215
1245;MITF;0.0005445088012385205
932;FH;0.0005441975371093199
1220;SERPINA1;0.0005300770085286487
777;PIK3C2G;0.0005250497462631786
402;XPO1;0.0005152034846088102
946;TTYH1;0.0005131718432162352
381;GEN1;0.0005026008741897526
467;SYK;0.0005008490694433773
166;SH2B3;0.0004990118196895836
337;VTCN1;0.0004966432125000753
975;GNB2L1;0.0004956762553430143
624;RNF43;0.0004940919850914617
108;PTPRS;0.0004924267049334067
881;PRKD1;0.0004897680116714989
1011;HERC2;0.0004890481888153703
1561;CARD11;0.00048493107087216027
782;NEGR1;0.0004829310107291538
1247;PNRC1;0.0004719409692879408
842;MAP3K5;0.00046895264298277436
745;RIF1;0.0004686654165706338
1374;PARP1;0.00046369496650520905
445;GATA4;0.00045828914189479785
576;NTRK2;0.00045745973025753035
915;HIST1H3E;0.0004573959343282312
989;PTK2;0.00045688767952790747
1076;STAT4;0.0004521248691741989
936;OR5L1;0.00045008427527454964
344;SOX2;0.00044841417524563474
498;BBC3;0.00044786138956724015
627;CCND2;0.0004452714223620894
1478;SLC34A2;0.0004430403725864275
849;DICER1;0.0004402555620748036
931;GNA11;0.00043729921254686855
911;BCL10;0.00043631646792291836
1023;MAPK1;0.00043495357099781497
116;CTCF;0.0004310722631894071
224;PREX2;0.0004289446417277706
1449;GLI1;0.00042738170976840286
923;SRC;0.0004247515870267225
1428;MAPKAP1;0.00042332015739669147
1589;KIT;0.0004231700160570912
1401;FGF3;0.00042045209993837694
845;CDKN1B;0.0004198231538094511
1114;PTPRO;0.0004191419167131318
382;RASA1;0.00041549204800652963
226;NUP214;0.0004128010081209115
455;MYH11;0.0004081481444648959
880;BARD1;0.0004064235018525339
1532;XPA;0.0004052641966406234
1392;STK11;0.00040149658660517074
313;MTA1;0.0003995312196699921
349;EPHB4;0.0003984034410111714
1172;PMS2;0.00039763256289503346
1562;RRAS;0.00039739042342065934
882;ASPSCR1;0.00039487241337597234
161;LATS1;0.0003941315550947367
949;KMT2C;0.0003927945379432985
377;TCF7L1;0.0003906864828598083
1376;CDH1;0.00038679838269023035
964;IL7R;0.0003858640113962682
806;CTNNB1;0.0003788529894083026
1587;ZNF521;0.00037617988369640607
735;ESR1;0.00037575810304053836
961;NLRP1;0.0003733252547806071
315;MYB;0.0003692996365443085
338;TRAF7;0.0003649227456770858
622;DDR2;0.00036353137501486194
1609;WNK2;0.0003620854550273634
413;CYSLTR2;0.00035999261061658513
1342;MYD88;0.0003588823945579082
1455;FANCI;0.0003586936844763929
972;RAD51D;0.00035536104650321025
502;KDM6B;0.0003533755750947288
1176;EZH1;0.00035295599002729345
616;PGBD5;0.0003526600701266977
898;NFKBIA;0.0003517582946812496
805;MEN1;0.00034791170832867676
997;SDHD;0.0003473125085743567
738;CDKN2B-AS1;0.0003429304235477879
390;IDH1;0.00034249751668329954
438;KCNIP1;0.00034159830040130564
462;PTPRB;0.00033977219237303776
1;TGFBR2;0.00033473730404695975
388;FAT3;0.00033389921698204444
236;GSTM5;0.0003301420327051321
1223;DDB1;0.0003301186987690478
1165;PRF1;0.00032921078643495874
1451;ERCC4;0.00032648352449556257
308;TOP1;0.00032569869951717473
239;SETDB1;0.0003232449077502527
1244;MIR4457;0.0003209710956387233
457;ERBB2;0.0003184791543670814
506;ID4;0.0003140660030098547
589;CDH4;0.00031356484301681554
1024;BMPR1A;0.0003130910585695517
1013;CD274;0.0003126635184958824
1204;MCM8;0.0003083818816830843
1148;WHSC1;0.0003079124760359969
1272;FGF5;0.000307423579704246
222;FAM58A;0.000307150381895834
1330;RFWD2;0.0003067912187611534
208;FOXP1;0.0003054167051512322
1461;AURKA;0.00030321090599603573
1484;PGR;0.00030068651194075627
1516;NPM1;0.00030016451551344883
375;GATA2;0.0002972795986739156
53;SESN2;0.00029397375079479764
673;EGFL7;0.0002923284727019539
1075;SOX10;0.00028738324639569855
1269;PLCG2;0.0002856342174777574
873;SMAD4;0.0002847643657763038
43;ALOX12B;0.0002845778101739695
391;ZNRF3;0.0002803529617786647
696;PTPRT;0.0002794961477564617
524;TMPRSS2;0.0002745145286680582
1104;ANKRD26;0.00026957367166241536
292;VHL;0.0002687283674849768
920;RELA;0.00026554406485256835
1069;RNF213;0.0002654922143499083
1494;CARM1;0.00026324833942349045
1406;CUX1;0.0002625626142898937
290;C17orf70;0.0002617872477672634
17;ASXL1;0.00026050212284042714
900;PDGFRA;0.000259985429471738
12;AKT2;0.0002591811715922341
1239;ELANE;0.00025888437914788846
1202;H3F3C;0.00025784254779840553
1110;FN1;0.0002563520095354983
61;WWTR1;0.00025611129383534077
1095;NTRK1;0.0002537371428246711
734;CDK9;0.0002533665412410916
1479;FGFR1;0.0002520858482676769
1387;TAP1;0.00025145640637872386
794;EXT2;0.00025037870685287435
151;MAP3K13;0.0002482458942849156
235;NTRK3;0.00024696171614140824
1390;APLNR;0.000246849570389006
330;COL1A1;0.0002448837010235463
284;PRPF8;0.0002442258538318337
1365;CTLA4;0.00024354179525241704
386;ZNF703;0.0002417946957272988
1111;PIK3CG;0.00024102920634750015
1623;U2AF2;0.00023959604529468628
202;PAX5;0.0002390655547760097
838;ESPL1;0.0002382557818266571
404;IRS1;0.00023286540342570345
383;TCF7L2;0.00023274612439988095
1567;PDCD1LG2;0.00023258003795564674
1489;MAP2K4;0.0002317723104721602
669;HDAC9;0.00023164729729282046
826;NUP98;0.0002302437557051545
1314;CUL3;0.0002300844158384068
300;CBLB;0.0002294536184658486
853;WT1;0.00022792281659511312
956;LRP1B;0.00022097955762265524
858;LYN;0.0002202051382352501
1471;NAV3;0.00021947420150079057
421;NT5C2;0.00021798095948353117
1050;BLM;0.000217267576510289
1004;CCNE1;0.00021716577482651134
429;FGF4;0.00021322682659460077
950;KAT6A;0.00021265912117623755
1583;HRAS;0.0002120254665432282
427;RSPO2;0.00021105593775816488
260;ZMYM2;0.00020978005699606945
1535;AC068134.10;0.00020971523900352497
26;TAF1;0.00020963968332991193
879;NKX2-1;0.00020832536880294506
615;DROSHA;0.0002078850286335567
1208;BCL11A;0.00020774965759818824
864;ALK;0.00020399099818050473
1344;THADA;0.0002025650292375649
72;PHOX2B;0.00020240478119701248
605;KLF2;0.0001991230713375269
90;KDM5A;0.00019757602410216417
430;HIST3H3;0.00019748368397966274
1444;ARHGEF12;0.00019378655601751324
953;SPOP;0.0001915428338230486
645;BUB1B;0.00019096180064886878
1315;AKT1;0.00018949981686899132
1572;PDK1;0.00018931075875262688
562;CACNA1E;0.00018912709526711444
1048;JAZF1;0.00018880469585704323
454;GLI2;0.00018868885375804802
1005;TET1;0.00018843006242368478
1251;CHD7;0.0001871389065265707
1614;CHD5;0.00018662892406242935
432;TAL1;0.0001839306502349304
875;Unknown;0.00018188931071709877
175;KBTBD4;0.00018149114192576743
548;GUCY1A2;0.00018078742977990664
1017;FOXO1;0.00017941212294601895
1018;C11orf95;0.00017889327022920396
621;PPP2R1A;0.00017883851838964367
788;FYN;0.00017364864454237557
1020;NUTM1;0.00017340512795824988
399;AR;0.00017212833302255567
585;FAM175A;0.0001720704933775314
525;RARA;0.0001715418916644416
995;SHH;0.00017096801915826562
1536;INPPL1;0.00017046886814576278
1480;FAH;0.0001700049475999653
201;RAF1;0.00016924155191313112
1446;GREM1;0.00016766372104972348
1618;HABP2;0.00016633107440768106
1518;CAMTA1;0.0001649351131620481
1139;ACVR1B;0.0001647738733135256
728;USH2A;0.00016337863604162195
929;POLD1;0.00016298181462895926
608;CSF3R;0.00016293745354344443
843;ATRX;0.00016123278865590767
807;DTX1;0.0001604309815432343
440;MED12;0.00016004578541718018
1153;MSI1;0.00015937538099391048
324;TYK2;0.00015836261974088074
692;PRKCZ;0.00015828741634746002
369;RRM1;0.00015726349066111633
742;KCNK12;0.0001560276460426343
517;TRIM33;0.00015588881668144588
1325;LEF1;0.00015492457896707683
998;SHOC2;0.00015469537396275673
1003;RPS6KB1;0.00015468178542420703
131;SMAD2;0.00015305019814606342
1289;STT3A;0.00015257759495626618
1321;FANCG;0.0001523407752759993
1265;APOB;0.00015092049615312886
564;IKZF1;0.00015048574694192995
366;FANCD2;0.00015043924190766538
1568;RET;0.00014908482900569773
1234;INSR;0.00014863648509996072
773;USP28;0.000148200830018845
603;PIK3R1;0.00014808532352075172
309;BTK;0.00014752960077572225
828;FGFR3;0.00014637271099933937
744;HIST1H3C;0.00014567114877897993
1605;HOXB13;0.00014480365159831905
346;LZTR1;0.00014419469521279504
243;MAGI2;0.00014372422959346264
195;COL7A1;0.00014186066698168877
928;TCF12;0.000141138527743348
1096;EIF4A2;0.0001401222861294891
1064;PAK3;0.00013899223636758672
1022;ANKRD11;0.0001387840315922697
357;PRKAR1A;0.00013842361765645082
1216;IDH2;0.00013838711625984758
768;BIRC6;0.0001373116152962207
618;GAB2;0.00013694115932963948
401;HNF1A;0.00013640622230912718
1382;BRD4;0.00013323077961098506
395;CSMD3;0.0001330955601588603
1185;PHF6;0.00013289560196615472
479;MTAP;0.00013150170669520427
1230;ITGB2;0.00013077570052168647
973;PTPN14;0.00013062232236514006
406;NR4A3;0.00013052561510240427
1209;T;0.00012794293762575566
705;DGKH;0.0001276484756652905
1483;PRDM1;0.00012753329594625195
579;WHSC1L1;0.0001274915182297573
877;STK40;0.0001272096465590472
1611;PIK3R2;0.00012642746106000924
1291;TPR;0.0001250941568587385
85;DST;0.00012389472987595095
343;DYNC1I1;0.0001228243671624525
1510;EED;0.00012223479559127223
488;MLLT3;0.0001220080348517277
702;BCL2L2;0.00012170072659112994
626;NRIP1;0.00012134930309476391
1297;RBM10;0.00012110187979630524
1345;DCC;0.00012087337425333528
529;TRRAP;0.00011974442117008317
657;MAD2L2;0.00011917783537997545
598;KDM6A;0.0001178978600829277
1128;C19orf40;0.00011444490167662318
481;RAB35;0.00011429329140587636
1319;PRDM14;0.00011210264511509045
1458;PPM1D;0.0001120902063797519
619;SYNE1;0.00010861682609790738
578;SMARCD1;0.00010731244520276565
1030;FLT1;0.00010716599536099341
891;EPHA2;0.00010669533338448925
775;CDK5;0.00010638612231139069
1369;STAT5A;0.00010601666155073983
963;DKC1;0.0001050383770694265
132;AXIN2;0.00010478751660606405
778;FGF14;0.00010449467228089626
289;UIMC1;0.00010238683609656502
515;RHOA;0.00010019453826097917
203;ELF3;9.806985910429135e-05
870;HLA-B;9.800165036213009e-05
699;PIK3CB;9.789918043321564e-05
1227;ERRFI1;9.783615398396474e-05
220;MAP3K2;9.76239632364826e-05
1308;TSC1;9.685390006369524e-05
141;MYCL;9.661034020244865e-05
76;MCL1;9.620422494296482e-05
38;HIST1H3B;9.507970614796205e-05
789;SETD1B;9.461808777258465e-05
1146;HEY1;9.452278986422451e-05
275;FGF7;9.403097382861451e-05
3;FANCM;9.223379803772067e-05
926;SHQ1;9.106086749254668e-05
1058;GNAS;9.10398500622083e-05
465;PRKCA;8.8779348402457e-05
409;BCR;8.68345870331784e-05
772;CASP8;8.63625037798571e-05
1190;CRLF2;8.602700734669615e-05
644;ABL2;8.580662734587124e-05
1067;ALB;8.421115383615995e-05
1012;STAT6;8.413236619811182e-05
1329;ERG;8.4025103403591e-05
859;SBDS;8.124168392469264e-05
1182;EPHB1;8.060043567555283e-05
1333;IKBKE;7.986325436740968e-05
470;CYLD;7.88705649292706e-05
139;TCF3;7.779791527263196e-05
1274;C11orf30;7.760525353256616e-05
63;MDC1;7.746441281316596e-05
487;PIK3C3;7.737706443706067e-05
1334;FGF2;7.709054644494848e-05
1625;ABL1;7.636264134977007e-05
447;PHLPP1;7.618716925393946e-05
771;MNX1;7.591275472264996e-05
606;FUBP1;7.578880181054332e-05
1260;TSLP;7.561000557498991e-05
1472;TRAF3;7.495376351429575e-05
1120;BCL11B;7.477567378481181e-05
1558;OTX2;7.422376983294636e-05
1206;NOTCH4;7.329096614715429e-05
1079;IL2RB;7.320582917157643e-05
1001;SUZ12;7.287666994722276e-05
1149;BRCA1;7.268888790488466e-05
505;DNMT3B;7.198323859020931e-05
1596;MST1;7.193677022791989e-05
901;FANCA;6.884227898770492e-05
869;EIF4E;6.74947363252357e-05
682;MAPK3;6.738720226634893e-05
707;INHA;6.717257722072975e-05
656;RTEL1;6.682007049589643e-05
1525;EPHA5;6.612604540422107e-05
207;CBFB;6.525609067924046e-05
81;DIS3L2;6.348463086930251e-05
247;KDM5C;6.30195733873619e-05
483;IL21R;6.292230032775098e-05
1515;SMC3;6.128801757496194e-05
463;HIST1H3J;6.126534976922337e-05
1361;MRE11A;6.043237250674257e-05
229;CSF1R;5.97779641750053e-05
749;ARHGAP35;5.8784391208774595e-05
1431;IFNGR1;5.8741990344433175e-05
367;BCL2L11;5.836086610741255e-05
450;TNFAIP3;5.814823942778865e-05
431;RAD54L;5.8076352169063894e-05
1288;PPARG;5.7687910594044475e-05
643;SMO;5.761027290834062e-05
70;PDE4DIP;5.75869399057176e-05
94;TCEB1;5.6430384498794085e-05
1433;EPCAM;5.638798443521123e-05
1161;TP63;5.557875328674664e-05
302;CHEK2;5.409344126444267e-05
1091;KLF5;5.234478332367731e-05
1160;PIM1;5.233292910468331e-05
737;KEL;5.206979919049482e-05
817;CDK8;5.2069000989742446e-05
595;STAG2;5.157596249035265e-05
1224;FGFR2;5.084455129751353e-05
1571;HLA-A;5.0405888334102915e-05
16;PPP6C;5.017160286757917e-05
1039;BRD3;5.0124044002043955e-05
1105;GNAQ;4.992927604985854e-05
677;PAK7;4.969152650147125e-05
1542;NUF2;4.8756245276721384e-05
1350;AGO2;4.8445891730262014e-05
558;BCL2;4.8140414722873695e-05
765;CSDE1;4.773999894014874e-05
1537;BEND2;4.713369354016668e-05
610;L2HGDH;4.593878795065503e-05
443;INHBA;4.4220242768237486e-05
769;ETV1;4.365366185732681e-05
569;FAS;4.3327868920412436e-05
31;SOCS1;4.2976873681866935e-05
546;BRE;4.257893580769071e-05
1493;DCLRE1C;4.2379846268220494e-05
270;MYH9;4.204678309760419e-05
835;PML;4.1869543900433584e-05
228;YES1;4.1694801906769426e-05
822;ETV6;4.1340105329188196e-05
1452;SDHC;4.1172012062140015e-05
574;TEK;4.071212841538574e-05
96;WISP3;4.021276029659871e-05
1094;PAX8;3.9935860714928024e-05
756;MALT1;3.899071075724872e-05
373;CEBPA;3.825512810756056e-05
334;HIST1H3F;3.5974003899754554e-05
1147;SOX17;3.555875538735055e-05
497;DAXX;3.52335533263812e-05
1474;MEF2BNB-MEF2B;3.507284130546414e-05
623;HIST1H1C;3.4838062064009945e-05
676;C1orf147;3.400423143735912e-05
1339;TBX3;3.3508464626961374e-05
415;PDPK1;3.342010178515522e-05
1107;NEIL3;3.2738805450565555e-05
965;G6PD;3.258277323581067e-05
253;HIST1H2BD;3.1677553741584746e-05
473;MST1R;3.150809671464402e-05
974;ITK;3.147788437244741e-05
892;FOXL2;3.0724017542391875e-05
1277;SS18;2.9556833962840035e-05
304;YAP1;2.947478130955196e-05
1134;FOXP4;2.8074695119032206e-05
1286;TSHR;2.7751904587518883e-05
1228;FRS2;2.6906370722240642e-05
651;KLF4;2.666712838353657e-05
1424;MLLT1;2.592176195892857e-05
20;TFE3;2.515227976610073e-05
831;PARK2;2.4777267881237504e-05
1619;TAP2;2.455302716242432e-05
753;AJUBA;2.4548387573913717e-05
1027;AKT3;2.3671877038580592e-05
482;DNMT1;2.2689766927554618e-05
1349;GATA6;2.2622090876008458e-05
866;RRAGC;2.2246204615353344e-05
1047;SOX9;2.219470944557236e-05
743;ERBB3;2.2152405103341325e-05
246;NKX2-1-AS1;2.1679400487564542e-05
1545;PLCG1;2.038729502002518e-05
1083;GRIN2A;2.0024915486489195e-05
234;FANCF;1.9746168995724533e-05
103;NFE2L2;1.921355087001867e-05
30;E2F3;1.9022371727867524e-05
1593;DIS3;1.7449175391528438e-05
1056;RSPO3;1.7108634042008918e-05
1432;IKZF3;1.6901516206217887e-05
486;PTK2B;1.638131854310498e-05
874;COL2A1;1.6064254348934493e-05
69;SQSTM1;1.604538335776781e-05
197;CDC73;1.5289723014545395e-05
97;RUNX1T1;1.3713328868409898e-05
146;DCUN1D1;1.3139174525457287e-05
746;MYBL1;1.2133429279541734e-05
571;FLCN;1.0760479221785659e-05
1485;STAG1;0.0
1109;TAL2;0.0
1495;TRAJ58;0.0
1143;DDX10;0.0
1108;IGHJ6;0.0
1486;ITGA10;0.0
1490;CDKN2B;0.0
1496;SETD5;0.0
1138;DEK;0.0
1135;MKL1;0.0
1497;SESN1;0.0
1118;CDK4;0.0
1130;TRAJ17;0.0
1119;CRCT1;0.0
1122;TLX1;0.0
1488;YEATS4;0.0
1121;PRCC;0.0
1487;RPA1;0.0
1142;CDT1;0.0
1115;TRAJ41;0.0
1141;ROBO1;0.0
1112;ZMYM3;0.0
1145;CTNNA3;0.0
1113;TLR4;0.0
1019;FOXQ1;0.0
1482;SDHAF2;0.0
1492;TRIP11;0.0
1117;MAP3K14;0.0
1127;MIR3135B;0.0
1123;RPL32P1;0.0
1131;IL15;0.0
1129;ZRSR2;0.0
1133;EGR1;0.0
1126;UMODL1;0.0
1613;SETD7;0.0
1140;AFF3;0.0
1491;TRAJ52;0.0
1144;CD58;0.0
1514;PTTG1;0.0
1106;HSP90AB1;0.0
1549;SRP19;0.0
1046;SETD3;0.0
1624;TBL1XR1;0.0
1548;HIST1H1D;0.0
