target;split_set;roc_auc;accuracy;precision;recall
NF1_DEL;validation;0.7317628410410287;0.9875174544069732;0.49380051627099997;0.49995715509854327
NF1_DEL;test;0.7321213384099929;0.9856816450875857;0.49284082254379286;0.5;
NF1_SNP;validation;0.7978786577656518;0.9556129141454746;0.8134235556463946;0.5773853424964179;
NF1_SNP;test;0.7875405421155738;0.9562071591774562;0.8302108467238223;0.5780584180645693;
NF1_INS;validation;0.7352618133896033;0.995303177759912;0.6977145759268664;0.509027141714299;
NF1_INS;test;0.7250325172149963;0.9954303122619954;0.4977151561309977;0.5;
NF2_DEL;validation;0.758034665307798;0.996445648034528;0.498222824017264;0.5;
NF2_DEL;test;0.7014042989755203;0.9971820258948971;0.49859101294744856;0.5;
NF2_SNP;validation;0.7248766577736534;0.9856133372826132;0.5839029102300629;0.5028098699557927;
NF2_SNP;test;0.7342653021461327;0.9853008377760853;0.6927619047619047;0.5050923957850261;
NF2_INS;validation;0.685061284023808;0.999238353150256;0.499619176575128;0.5;
NF2_INS;test;0.6455411139909539;0.9990860624523991;0.49954303122619953;0.5;
SMARCB1_DEL;validation;0.6313816359163029;0.9983920788727627;0.49921716316858494;0.49997880996779115;
SMARCB1_DEL;test;0.6595098749428092;0.9987814166031987;0.4993907083015994;0.5;
SMARCB1_SNP;validation;0.7144770025911275;0.9922142766470613;0.7654627760046897;0.5187909762372404;
SMARCB1_SNP;test;0.7850857094949997;0.98994668697639;0.7868259897342075;0.525927036102957;
SMARCB1_INS;validation;0.2961867276113086;0.9997884314306267;0.49989421571531334;0.5;
SMARCB1_INS;test;0.5348952380952381;0.9996191926884996;0.4998095963442498;0.5;
LZTR1_DEL;validation;0.7590272359420078;0.99936529429188;0.4997037914691943;0.49997883060248105;
LZTR1_DEL;test;0.7996483817942325;0.9994668697638994;0.4997334348819497;0.5;
LZTR1_SNP;validation;0.8983602350555593;0.994414589768544;0.8515193711437729;0.5597101616981272;
LZTR1_SNP;test;0.8377453371823922;0.9941355674028941;0.7245667283398818;0.5326649222258957;
LZTR1_INS;validation;0.6169867337436965;0.9997038040028773;0.49985190200143864;0.5;
LZTR1_INS;test;0.9714895238095238;0.9996191926884996;0.4998095963442498;0.5;
Bladder Cancer;validation;0.9178921775030744;0.9806626327592772;0.91816330430071;0.7077797294294643;
Bladder Cancer;test;0.9069588006226528;0.9803503427265804;0.8898175118054636;0.6966380427876901;
Breast Cancer;validation;0.9275004196405712;0.9385181737401092;0.8871721085619092;0.7490360353287081;
Breast Cancer;test;0.9240578014078131;0.9383853769992384;0.8814352496213204;0.7506304876875494;
Cancer of Unknown Primary;validation;0.6810618954751341;0.9647103626285279;0.48245725410529877;0.4998903701105069;
Cancer of Unknown Primary;test;0.6703909167988658;0.9623000761614623;0.5812952380952381;0.5008580072744864;
CNS Cancer;validation;0.9178183775106262;0.99428764862692;0.806834499003735;0.5462583079458319;
CNS Cancer;test;0.9329323711701452;0.9936785986290937;0.7697544851672453;0.5355226560960119;
Colorectal Cancer;validation;0.952546522778895;0.9496889942030212;0.9003809344111089;0.8227466966236436;
Colorectal Cancer;test;0.9513442867308028;0.9488194973343488;0.903256779184499;0.8215143712237312;
Endometrial Cancer;validation;0.9372275254727953;0.9770659670799307;0.8737571155798219;0.7290650439702865;
