Topic;Count;Name
-1;17;-1_entry_complex_beta_subunits
0;29;0_gene_human_entry_sequence
1;25;1_entry_domain_notch_gene
2;12;2_subunit_kinase_pik_entry
3;9;3_rad_repair_dna_excision
4;6;4_histone_epigenetic_methylation_kmt
5;5;5_wnt_apoptosis_pathway_apc
6;4;6_cell_signaling_adhesion_contact
