Topic;Count;Name
-1;22;-1_gene_kif_factor_summary
0;26;0_gene_protein_human_cdna
1;17;1_entry_kinase_see_protein
2;14;2_dna_repair_entry_complex
3;8;3_remodeling_chromatin_snf_swi
4;6;4_ntrk_entry_ntf_neurotrophins
5;5;5_ubiquitin_nfe_entry_succinate
6;5;6_cell_ajs_epithelial_inhibition
7;5;7_sarcoma_virus_transforming_nras
8;4;8_methylation_methyltransferase_histone_dna
9;3;9_activation_esr_mediator_repression
